0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
16.150614,16.117765,16.769037,17.425983,18.074524,18.480417,19.044052,19.452038,19.936836,20.06257,20.387632,20.545303,20.695404,20.774149,20.806667,20.807827,20.91771,21.019123,21.24881,21.409187,21.553892,21.523985,21.420017,21.45841
12.807135,13.024977,12.904089,13.466427,13.575818,13.539533,13.651865,14.222578,14.303211,14.233627,13.763549,14.129068,14.237898,14.4422865,14.432905,14.355757,14.5238695,14.393129,14.676267,14.650482,14.703311,14.643404,14.612944,14.652575
11.752089,11.578763,11.4941845,11.72884,11.733711,11.843586,11.687389,11.747602,12.165276,12.201746,12.046738,12.167882,12.149727,12.443192,12.344647,12.456572,12.423845,12.453392,12.49362,12.617512,12.789846,12.673826,12.608213,12.816605
14.367968,15.189272,15.369973,16.036636,16.99884,17.487572,17.53168,17.756699,17.481487,17.643147,17.37636,17.47336,17.609425,17.535421,17.561943,17.38789,17.43879,17.60107,17.444355,17.389263,17.382727,17.306707,17.165218,17.110209
21.92616,22.112822,23.151646,23.657452,24.661707,25.31327,26.08625,26.322964,26.983541,27.01336,27.332256,27.258293,27.594883,27.482864,27.76531,27.60297,27.663288,28.109238,28.106127,27.961365,28.073486,28.261395,28.214176,28.147083
20.211273,20.504398,21.861256,22.251736,23.404379,24.090403,25.057468,25.58634,26.077711,26.407679,26.45965,27.276367,27.240206,27.35271,27.151482,27.092297,27.006035,27.567139,27.91397,27.733877,27.595324,27.865477,27.847336,27.908262
23.410486,24.533913,25.901522,26.103634,27.369598,28.033848,28.596773,29.06615,29.565891,29.81325,30.184578,30.676916,30.55743,30.381783,30.376528,30.15603,29.991425,30.639786,30.92437,30.975477,30.780113,30.887491,30.684877,30.481146
15.26502,15.574541,16.130184,16.98431,17.566595,18.106564,18.413816,18.63662,19.233864,19.403675,19.628231,19.903786,20.068264,20.164585,20.001232,20.152514,19.911436,20.054403,20.320847,20.448547,20.557379,20.510574,20.357315,20.32909
15.236906,15.327457,15.660082,15.949263,16.110664,16.444693,16.817642,17.346937,17.383842,17.400043,17.443518,17.767004,17.88224,18.142025,18.148388,18.15616,18.387648,18.397799,18.475079,18.548632,18.656963,18.611416,18.709267,18.888683
12.540664,13.174103,13.354832,13.407555,13.3770075,13.555508,13.54863,14.184266,14.374117,14.317703,13.902489,14.2020445,14.310745,14.504365,14.582178,14.371578,14.69285,14.614157,14.754998,14.820841,14.900935,14.785969,14.689109,14.892808
13.143551,13.297516,13.065941,13.674248,13.85931,13.965775,13.8809185,14.155419,14.221515,14.26683,14.225765,14.494743,14.588255,14.72808,14.660349,14.729016,14.812933,14.784389,14.938786,15.010769,15.034148,14.934492,14.98394,14.989122
16.423868,16.58403,16.909498,17.820011,18.65944,19.153395,19.330622,19.698877,19.269993,19.510792,19.576557,19.884516,19.672832,19.424946,19.525438,19.487715,19.5938,19.626991,19.599894,19.553947,19.488525,19.499825,19.332287,19.228954
13.330512,13.392498,13.3708105,13.667189,13.819004,13.995775,13.986028,14.310718,14.295792,14.293415,14.260283,14.576988,14.656948,14.835701,14.77418,14.783522,14.946529,14.903834,15.071647,15.078564,15.2754135,15.233211,15.049101,15.181553
14.391384,15.052238,15.525085,16.235237,16.856873,17.440922,18.028263,18.46408,18.661167,18.93909,19.433777,19.816637,19.641148,19.838987,19.34015,19.597612,19.670303,19.729385,20.253145,20.435427,20.31169,20.233095,19.96944,19.870913
11.534646,12.408737,12.735975,12.943026,13.248699,13.110924,13.06148,13.384104,13.658639,13.708692,13.820766,14.4521055,14.392874,14.45832,13.968046,14.072535,14.31198,14.374336,14.4510565,14.63673,14.941759,14.847579,14.356453,14.48008
13.58244,13.65749,13.408057,14.047727,14.276434,14.381457,14.342173,14.629861,14.683989,14.739139,14.745915,15.033977,15.117337,15.239741,15.153131,15.236113,15.31568,15.30015,15.460094,15.576134,15.723692,15.631901,15.485695,15.4666195
12.523633,13.385583,13.222518,13.453436,13.479568,13.582851,13.502798,13.773693,14.000805,14.032964,13.85426,14.153893,14.273629,14.656409,14.55497,14.524567,14.729923,14.721167,14.389788,14.489713,14.804567,14.706894,14.742179,14.966082
17.238369,17.708467,18.595612,19.342941,20.350307,21.587893,22.495577,22.741472,23.03807,24.083624,24.09617,25.10442,25.027729,25.12974,24.895224,25.021252,24.945543,25.549149,25.850807,25.833824,25.635162,25.969444,25.995308,25.978325
20.906996,20.719772,21.86785,22.450878,23.235535,24.411089,25.333004,25.771688,25.95293,26.3574,26.518112,27.325253,27.326748,27.477745,27.19397,27.239157,27.153408,27.647507,28.076077,27.824308,27.679815,28.06559,27.997536,28.06651
24.433973,25.667986,27.386608,27.430836,28.379936,29.077446,29.906872,30.487522,31.266098,31.48842,31.673471,32.26284,32.239838,32.219585,31.951908,31.521978,31.595528,32.339573,32.40618,32.317234,32.124535,32.418102,32.308758,32.49276
19.214418,20.225702,21.023436,21.559599,22.446777,22.84594,23.645496,24.123789,24.855835,25.176748,25.35577,26.066133,26.039265,26.20879,25.937462,25.989582,25.908669,26.226105,26.594555,26.599543,26.37959,26.667313,26.842884,26.911322
23.46676,24.670021,26.349585,26.44638,27.070934,27.646564,28.275967,28.938793,30.077051,30.115417,30.379194,31.01322,30.844046,30.802494,30.447615,30.04899,30.14772,30.870115,31.081203,31.07141,31.062939,31.138966,30.82763,31.016014
17.701168,18.252619,19.424797,20.220036,20.961456,21.729342,22.379673,23.508055,24.265701,24.423233,24.483086,25.313602,25.379627,25.590996,25.308086,25.288198,25.392311,25.860817,26.251245,26.087252,26.054783,26.309093,26.23629,26.559317
23.689846,23.84639,24.915894,25.136845,26.013191,26.668556,27.453297,27.752104,28.397903,28.314274,28.678165,28.678299,29.063477,29.05161,29.21568,28.973312,29.049042,29.494648,29.64965,29.547602,29.568861,29.74912,29.784859,29.693829
23.48124,24.654446,25.938248,26.235922,27.387262,28.051468,28.8031,29.502422,30.275583,30.380016,30.339378,30.28958,30.327194,30.115088,30.577522,30.074997,30.303276,30.86578,30.827778,30.725212,30.66354,30.702644,30.60833,30.593006
15.408355,15.340792,15.972542,16.723358,17.488705,17.897179,18.306309,18.620281,19.085608,19.289963,19.641815,19.94154,19.95332,19.93339,19.906631,20.079756,19.930325,19.97933,20.363514,20.571018,20.807592,20.89579,20.329193,20.336079
23.46676,24.670021,26.349585,26.44638,27.070934,27.646564,28.275967,28.938793,30.077051,30.115417,30.379194,31.01322,30.844046,30.802494,30.447615,30.04899,30.14772,30.870115,31.081203,31.07141,31.062939,31.138966,30.82763,31.016014
19.38357,20.178093,21.717943,22.051662,23.313908,23.95145,24.850935,25.444092,26.053108,26.382349,26.404852,27.184729,27.171509,27.271076,27.119875,26.963099,26.921213,27.520426,27.75852,27.624376,27.493217,27.63254,27.751434,27.75881
12.07996,13.157525,13.487406,13.132368,13.098224,13.290972,13.316553,13.624931,13.862216,13.850583,13.769083,14.693983,14.838624,15.135582,14.70756,14.597187,14.627128,14.706589,14.700414,14.791914,15.213269,15.183181,14.956468,15.263669
